SMILES,Reward,QED,LogP
COC1=CC=C(CC2=CN=C3C=CC=CC3=C2)C=C1,2.4687855015742737,0.703371003148545,3.8342000000000027
CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,2.1473997743462494,0.8215995486924976,3.073200000000001
C1CCCCC1,1.5814580934304736,0.42231618686094674,2.3406000000000002
CCCCC,1.532642754900567,0.4687855098011332,2.1965000000000003
CCCC,1.3187121788356546,0.4310243576713091,1.8064
c1ccsc1,1.2985133230072168,0.44892664601443366,1.7480999999999998
c1ccccc1,1.2646141859496824,0.4426283718993647,1.6866
c1ccc(cc1)C(=O)O,1.197701769714254,0.6106035394285075,1.3848
CCCOCC,1.153503397915641,0.474106795831282,1.4329
c1ccccc1O,1.1534647723843376,0.514729544768675,1.3922
CC(=O)OC1=CC=CC=C1C(=O)O,1.1301108983469426,0.5501217966938848,1.3101
CCC,1.100885329387018,0.3854706587740357,1.4163
c1ccoc1,1.0628157437750732,0.44603148755014616,1.2795999999999998
c1cc(O)ccc1O,0.9942638344507603,0.49072766890152064,1.0977999999999999
c1cc(ccc1O)O,0.9942638344507603,0.49072766890152064,1.0977999999999999
C1CC1,0.9758625210824795,0.38142504216495926,1.1703
c1ccncc1,0.9673739827421451,0.4531479654842905,1.0816
c1cccnc1,0.9673739827421451,0.4531479654842905,1.0816
CC,0.8994927775788025,0.3727855551576051,1.0262
C1CCNCC1,0.8087681139603904,0.4576362279207808,0.7599
CN1C(=O)CN=C(C2=CC=CC=C2)C1=O,0.7479356864191191,0.6215713728382382,0.47430000000000017
C,0.697942468941985,0.3597849378839701,0.6361
c1cnc[nH]1,0.6390216509608826,0.4683433019217652,0.40969999999999995
c1c[nH]cn1,0.6390216509608826,0.4683433019217652,0.40969999999999995
CC(=O)O,0.46039144160006085,0.4298828832001217,0.09089999999999993
CCO,0.40270398282769726,0.40680796565539457,-0.0014000000000000123
CN1CCOCC1,0.3861446647931942,0.4238893295863885,-0.05160000000000009
N1CCOCC1,0.22012872768932204,0.4340574553786442,-0.39380000000000015
CC(N)C(=O)O,0.13477609386885395,0.4513521877377077,-0.5817999999999999
CN1C=NC2=C1C(=O)N(C(=O)N2C)C,-0.045418586881389306,0.5384628262372215,-1.0293
